'Elevation', 'Aspect', 'Slope', 'HydroH', 'HydroV', 'RoadH', 'Shade9', 'Shade12', 'Shade15', 'FireH', 'ftype'
2596.0, 51.0, 3.0, 258.0, 0.0, 510.0, 221.0, 232.0, 148.0, 6279.0,Aspen
2590.0, 56.0, 2.0, 212.0, -6.0, 390.0, 220.0, 235.0, 151.0, 6225.0,Aspen
2804.0, 139.0, 9.0, 268.0, 65.0, 3180.0, 234.0, 238.0, 135.0, 6121.0,Lodgepole
2785.0, 155.0, 18.0, 242.0, 118.0, 3090.0, 238.0, 238.0, 122.0, 6211.0,Lodgepole
2595.0, 45.0, 2.0, 153.0, -1.0, 391.0, 220.0, 234.0, 150.0, 6172.0,Aspen
2579.0, 132.0, 6.0, 300.0, -15.0, 67.0, 230.0, 237.0, 140.0, 6031.0,Lodgepole
2606.0, 45.0, 7.0, 270.0, 5.0, 633.0, 222.0, 225.0, 138.0, 6256.0,Aspen
2605.0, 49.0, 4.0, 234.0, 7.0, 573.0, 222.0, 230.0, 144.0, 6228.0,Aspen
2617.0, 45.0, 9.0, 240.0, 56.0, 666.0, 223.0, 221.0, 133.0, 6244.0,Aspen
2612.0, 59.0, 10.0, 247.0, 11.0, 636.0, 228.0, 219.0, 124.0, 6230.0,Aspen
2612.0, 201.0, 4.0, 180.0, 51.0, 735.0, 218.0, 243.0, 161.0, 6222.0,Aspen
2886.0, 151.0, 11.0, 371.0, 26.0, 5253.0, 234.0, 240.0, 136.0, 4051.0,Lodgepole
2742.0, 134.0, 22.0, 150.0, 69.0, 3215.0, 248.0, 224.0, 92.0, 6091.0,Lodgepole
2609.0, 214.0, 7.0, 150.0, 46.0, 771.0, 213.0, 247.0, 170.0, 6211.0,Aspen
2503.0, 157.0, 4.0, 67.0, 4.0, 674.0, 224.0, 240.0, 151.0, 5600.0,Aspen
2495.0, 51.0, 7.0, 42.0, 2.0, 752.0, 224.0, 225.0, 137.0, 5576.0,Aspen
2610.0, 259.0, 1.0, 120.0, -1.0, 607.0, 216.0, 239.0, 161.0, 6096.0,Aspen
2517.0, 72.0, 7.0, 85.0, 6.0, 595.0, 228.0, 227.0, 133.0, 5607.0,Aspen
2504.0, 0.0, 4.0, 95.0, 5.0, 691.0, 214.0, 232.0, 156.0, 5572.0,Aspen
2503.0, 38.0, 5.0, 85.0, 10.0, 741.0, 220.0, 228.0, 144.0, 5555.0,Aspen
2501.0, 71.0, 9.0, 60.0, 8.0, 767.0, 230.0, 223.0, 126.0, 5547.0,Aspen
2880.0, 209.0, 17.0, 216.0, 30.0, 4986.0, 206.0, 253.0, 179.0, 4323.0,Lodgepole
2768.0, 114.0, 23.0, 192.0, 82.0, 3339.0, 252.0, 209.0, 71.0, 5972.0,Aspen
2511.0, 54.0, 8.0, 124.0, 0.0, 638.0, 225.0, 222.0, 130.0, 5569.0,Aspen
2507.0, 22.0, 9.0, 120.0, 14.0, 732.0, 215.0, 221.0, 143.0, 5534.0,Aspen
2492.0, 135.0, 6.0, 0.0, 0.0, 860.0, 229.0, 237.0, 142.0, 5494.0,Aspen
2489.0, 163.0, 10.0, 30.0, -4.0, 849.0, 230.0, 243.0, 145.0, 5486.0,Aspen
2962.0, 148.0, 16.0, 323.0, 23.0, 5916.0, 240.0, 236.0, 120.0, 3395.0,Lodgepole
2811.0, 135.0, 1.0, 212.0, 30.0, 3670.0, 220.0, 238.0, 154.0, 5643.0,Lodgepole
2739.0, 117.0, 24.0, 127.0, 53.0, 3281.0, 253.0, 210.0, 71.0, 6033.0,Aspen
2703.0, 122.0, 30.0, 67.0, 27.0, 3191.0, 254.0, 201.0, 52.0, 6123.0,Aspen
2522.0, 105.0, 7.0, 120.0, 1.0, 595.0, 233.0, 231.0, 130.0, 5569.0,Aspen
2519.0, 102.0, 6.0, 124.0, 4.0, 616.0, 230.0, 233.0, 137.0, 5559.0,Aspen
2516.0, 23.0, 6.0, 150.0, 4.0, 658.0, 216.0, 227.0, 147.0, 5541.0,Aspen
2515.0, 41.0, 9.0, 162.0, 4.0, 680.0, 221.0, 220.0, 133.0, 5532.0,Aspen
2900.0, 45.0, 19.0, 242.0, 20.0, 5199.0, 221.0, 195.0, 100.0, 4115.0,Lodgepole
2709.0, 125.0, 28.0, 67.0, 23.0, 3224.0, 253.0, 207.0, 61.0, 6094.0,Aspen
2511.0, 92.0, 7.0, 182.0, 18.0, 722.0, 231.0, 229.0, 131.0, 5494.0,Aspen
2749.0, 98.0, 30.0, 124.0, 53.0, 3316.0, 252.0, 183.0, 36.0, 6005.0,Aspen
2686.0, 354.0, 12.0, 0.0, 0.0, 3167.0, 200.0, 219.0, 157.0, 6155.0,Aspen
2699.0, 347.0, 3.0, 0.0, 0.0, 2096.0, 213.0, 234.0, 159.0, 6853.0,Spruce
2570.0, 346.0, 2.0, 0.0, 0.0, 331.0, 215.0, 235.0, 158.0, 5745.0,Lodgepole
2533.0, 71.0, 9.0, 150.0, -3.0, 577.0, 230.0, 223.0, 126.0, 5552.0,Aspen
2703.0, 330.0, 27.0, 30.0, 17.0, 3141.0, 146.0, 197.0, 184.0, 6186.0,Aspen
2678.0, 128.0, 5.0, 95.0, 23.0, 1660.0, 229.0, 236.0, 141.0, 6546.0,Lodgepole
2529.0, 68.0, 8.0, 210.0, -5.0, 666.0, 228.0, 225.0, 130.0, 5484.0,Aspen
2524.0, 94.0, 7.0, 212.0, -4.0, 684.0, 232.0, 229.0, 130.0, 5474.0,Aspen
2536.0, 99.0, 6.0, 234.0, 0.0, 659.0, 230.0, 232.0, 136.0, 5475.0,Aspen
2498.0, 66.0, 6.0, 95.0, 7.0, 900.0, 227.0, 227.0, 135.0, 5357.0,Aspen
2489.0, 100.0, 7.0, 85.0, 13.0, 810.0, 232.0, 231.0, 131.0, 5334.0,Aspen
2713.0, 117.0, 30.0, 60.0, 17.0, 3297.0, 254.0, 198.0, 48.0, 6039.0,Aspen
